iter	Passed	Remaining
0	209	209335
1	283	141305
2	344	114398
3	398	99174
4	475	94681
5	535	88714
6	592	83989
7	640	79382
8	694	76525
9	754	74670
10	812	73048
11	866	71376
12	924	70161
13	983	69297
14	1033	67869
15	1083	66642
16	1136	65724
17	1195	65239
18	1255	64844
19	1310	64222
20	1362	63527
21	1412	62812
22	1475	62696
23	1529	62209
24	1582	61730
25	1677	62832
26	1734	62488
27	1789	62126
28	1844	61772
29	1899	61419
30	1966	61480
31	2017	61040
32	2073	60749
33	2126	60407
34	2188	60341
35	2242	60061
36	2294	59710
37	2352	59548
38	2415	59528
39	2535	60847
40	2746	64232
41	2820	64338
42	2880	64113
43	2937	63814
44	3004	63756
45	3060	63474
46	3114	63144
47	3165	62778
48	3285	63774
49	3476	66050
50	3555	66163
51	3614	65903
52	3661	65431
53	3708	64962
54	3761	64632
55	3842	64773
56	4010	66343
57	4152	67437
58	4212	67180
59	4264	66812
60	4321	66524
61	4370	66118
62	4424	65800
63	4470	65374
64	4517	64983
65	4604	65164
66	4737	65967
67	4953	67897
68	5097	68775
69	5170	68698
70	5232	68462
71	5632	72597
72	5731	72777
73	5780	72340
74	5830	71908
75	5891	71634
76	5940	71209
77	6028	71255
78	6106	71191
79	6190	71187
80	6276	71205
81	6342	71004
82	6402	70739
83	6452	70366
84	6505	70027
85	6556	69683
86	6609	69364
87	6660	69023
88	6710	68687
89	6760	68352
90	6824	68167
91	6873	67834
92	6926	67547
93	6980	67278
94	7033	67002
95	7088	66753
96	7140	66475
97	7189	66168
98	7244	65931
99	7341	66077
100	7413	65984
101	7476	65823
102	7541	65679
103	7598	65465
104	7652	65227
105	7708	65014
106	7768	64831
107	7826	64643
108	7877	64394
109	7937	64218
110	7997	64053
111	8052	63845
112	8102	63598
113	8148	63329
114	8207	63160
115	8253	62894
116	8300	62642
117	8348	62401
118	8404	62223
119	8468	62099
120	8513	61847
121	8565	61645
122	8618	61454
123	8670	61250
124	8733	61137
125	8791	60980
126	8844	60794
127	8909	60697
128	9008	60826
129	9088	60822
130	9143	60653
131	9199	60490
132	9264	60392
133	9317	60214
134	9371	60047
135	9424	59873
136	9487	59762
137	9801	61222
138	9942	61585
139	10002	61441
140	10080	61412
141	10146	61306
142	10228	61300
143	10383	61722
144	10443	61579
145	10496	61399
146	10553	61238
147	10664	61394
148	10742	61352
149	10816	61292
150	10929	61449
151	11018	61468
152	11097	61433
153	11178	61409
154	11280	61497
155	11339	61348
156	11422	61329
157	11492	61243
158	11563	61162
159	11618	60998
160	11706	61003
161	11773	60904
162	11824	60717
163	11880	60561
164	11932	60385
165	11992	60249
166	12073	60224
167	12150	60175
168	12227	60124
169	12280	59959
170	12326	59759
171	12385	59621
172	12441	59474
173	12494	59313
174	12541	59123
175	12589	58942
176	12650	58821
177	12704	58670
178	12756	58508
179	12809	58354
180	12852	58155
181	12914	58045
182	12963	57875
183	13011	57703
184	13061	57541
185	13111	57380
186	13169	57257
187	13224	57117
188	13272	56953
189	13326	56814
190	13376	56656
191	13438	56553
192	13487	56397
193	13536	56240
194	13583	56074
195	13632	55920
196	13699	55842
197	13753	55708
198	13801	55551
199	13850	55403
200	13902	55265
201	14172	55989
202	14277	56054
203	14421	56271
204	14546	56413
205	14618	56346
206	14701	56321
207	14775	56260
208	14825	56108
209	14898	56047
210	14968	55973
211	15024	55846
212	15080	55721
213	15139	55605
214	15211	55539
215	15277	55453
216	15344	55369
217	15406	55265
218	15485	55224
219	15559	55164
220	15637	55122
221	15723	55102
222	15805	55071
223	15871	54984
224	15935	54889
225	16005	54814
226	16070	54725
227	16128	54610
228	16204	54557
229	16272	54476
230	16340	54396
231	16400	54290
232	16486	54271
233	16559	54205
234	16630	54137
235	16736	54181
236	16839	54213
237	16916	54160
238	16998	54123
239	17052	53998
240	17110	53888
241	17166	53769
242	17227	53668
243	17306	53622
244	17381	53562
245	17470	53548
246	17546	53491
247	17621	53431
248	17706	53405
